Document_ID,cleansentence,,,,,,,,,,,,,,,,,,,,,,,,,,Sentiment
13,report experiment use standard natural language processing nlp tool analysis music lyric significant amount music audio lyric lyric encode important part semantics song therefore analysis complement acoustic cultural metada,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
14,paper describe simple rulebased approach automated learning linguistic knowledge approach shown number task capture information clearer direct fashion without compromise performance present detailed case study learni,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
15,paper focus connectionist model natural language processing briefly present discus several aspect high level task recently approached connectionism either localist parallel distributed processing model several interesting architecture,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
16,abstract article explores possibility construct unified word feature component feature letter letter modeled different attractor finally embedded quadratic iterated map result word feature account meaning extraction pr,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
17,paper see schank theoretical discussion ka leake owen brief discussion program built around principle goal simply point interest natural language processing led u naturally indeed inevitably de,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
18,objective provide overview tutorial natural language processing nlp modern nlpsystem design target audience tutorial target medical informatics generalist limited acquaintance principle behind nlp andor limited knowledge current state,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
19,paper briefly describes current implementation status intelligent information retrieval system marie employ natural language processing technique descriptive caption used iden tify photographic image concerning various military project caption parsed,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
20,abstract metabolism machinery life signal transduction provides regulatory mechanism control machinery due complexity signal transduction pathway computational approach needed aid biologist integrating available knowledge formulatio,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
21,report present detailed analysis review nlp evaluation principle practice part examines evaluation concept establishes framework nlp system evaluation make use experience related area information retrieval analysis also refers ev,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
22,web emerged important source information world resulted need automated software component analyze web page harvest useful information however typical web page informative content surrounded high degree noise,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
23,abstract natural language processing theoretically motivated range computational technique analysing representing naturally occurring text one level linguistic analysis purpose achieving humanlike language processing range task application,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
24,paper review process involved natural language processing nlp demonstrates various kind choice need taken execution word morphology syntactic text analysis text generation component compare time complexity traditional,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
25,article focus derivation large lexicon natural language processing describe development dictionary support environment linking restructured version longman dictionary contemporary english natural language processing system process restruc,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
26,introduce method analyzing complexity natural language processing task predicting difficulty new nlp task complexity measure derived kolmogorov complexity class automaton meaning automaton whose purpose extract relevant piece infor,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
27,deep learning emerged new area machine learning research try mimic human brain capable processing learning complex input data solving different kind complicated task well successfully applied several field image,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
28,authorproduced version paper published,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
29,abstractnatural language processing nlp application automated parsing machine learning technique analyze standard text application nlp requirement engineering include extraction ontology requirement specification use nlp verify consistency,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
30,information retrieval address problem finding document whose content match useraposs request among large collection document currently successful general purpose retrieval method statistical method treat text little bag w,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
31,work computational linguistics began soon development first computer booth brandwood cleave yet intervening four decade pervasive feeling progress computer understanding natural language commensurate progres,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
32,abstracta system recognizes authenticates voice user extracting distinct feature voice sample usually termed voice recognition system voice identification carried converting human voice digital data digitized audio sample unde,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
33,abstract testing natural language requirement standard approach system acceptance testing test often performed independent test organization unfamiliar application area thing tester go written requirement,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
34,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,algorithm allow understanding generation humor general aim modeling humor provide u lot information cognitive ability general reasoning remembering understanding situation understanding conversati,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
36,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,recent year machine learning ml used solve complex task different discipline ranging data mining information,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
38,argue manual automatic thesaurus alternative resource nlp task involves radical step interpreting manual thesaurus classification word rather word sens case made range role thesaurus within nlp briefly,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
39,introduction pattern music object intensive study past year one purpose analyzing musical structure form discover pattern explicit implicit musical work simon pattern comprise periodicity make use alphabet,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
40,abstract many information retrievalir system retrieve relevant document based exact matching keywords query document method degrades precision rate order solve problem collected semantically related word assigned semantic relationship used gener,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
41,paper argue questionanswering qa technical domain distinctly different trecbased qa webbased qa cannot benefit lom dataintensive approach,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
42,universitquotat de saarlandes,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
43,proceeding workshop,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
44,unihamburgde,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
45,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,sri developed new architecture integrating speech naturallanguage processing applies linguistic constraint recognition incrementally expanding statetransition network embodied unification grammar compare dynamicgralnlnarnetwork dgn approach,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
48,chapter considers revolution taken place natural language processing research last five year begin providing brief guide structure field present caricature two competing paradigm s nlp research indicates reason wh,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
49,visual development environment support visual assembly execution analysis modular natural language processing system visual model executable data flow program graph automatically synthesised data dependency declaration language processing module graph th,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
50,chapter basic us description logic natural language processing analysed together little bit history role description logic current state art computational linguistics pointed introduction since early day,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
51,applied structure learning model maxmargin structure mm natural language processing nlp task aim capture latent relationship within output language domain formulate model extension multiclass support vector machine svm present per,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
52,vast quantity text becoming available electronic form ranging published document eg electronic dictionary encyclopedia library archive information retrieval service private database eg marketing information legal record medical history per,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
53,last year number area natural language processing begun applying graphbased technique include among others text summarization syntactic parsing word sense disambiguation ontology construction sentiment subjectivity analysis text clustering pa,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
54,natural language processing nlp research result software engineering software technology often neglected,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
55,kernelized sorting approach matching object two source domain require prior notion similarity object across two source unfortunately technique highly sensitive initialization high dimensional data present variant kern,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
56,natural language complex compound organization structure basic linguistic element represent various meaning therefore understand nature natural language need sophisticated treatment basic element well insight element,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
57,paper describe framework developing probabilistic classifier natural language processing focus formulating model capture important interdependency among feature avoid overfitting data also characterizing data well class pro,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
58,many natural language processing nlp technique used information retrieval result encouraging simple method stopwording porterstyle stemming etc usually yield significant improvement higherlevel processing chunking parsing word sense disambiguation e,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
59,abstract paper explains information retrieval using natural language processing malayalam language basic,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
60,research area plan recognition natural language parsing share many common feature even algorithm however dialog two discipline effective specifically significant recent result parsing mildly context sensitive grammar leveraged,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
61,research area plan recognition natural language parsing share many common feature even algorithm however dialog two discipline effective specifically significant recent result parsing mildly context sensitive grammar leveraged,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
62,information retrieval process finding document document collection satisfies information need user document natural language construct motivation work investigate natural language processing used improve performa,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
63,computational logic become widely used representing reasoning linguistic knowledge crossfertilization logic programming machine learning given rise new discipline known inductive logic programming inspired building achievement,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
64,statistical method used natural language processing nlp paper start definition nlp concerned design implementation effective natural language input output component computational system distinguish three kind,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
65,report collaborative work field machine learning ml natural language processing nlp presented document structured two part first part includes superficial comprehensive survey covering stateoftheart machine learning techniq,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
66,abstract thesis examines use machine learning technique various task natural language processing mainly task information extraction text objective improvement adaptability information extraction system new thematic domain even lang,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
67,chapter examines application natural language processing computerassisted language learning including history work field last thirtyfive year focus current development opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
68,traditional approach tointerpretation natural language processing typically fall one three class syntaxdriven semanticsdriven frametask based syntaxdriven approach use domainindependent grammar drive interpretation process produce global parse input,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
69,natural language processing nlp large diverse subtopic artificial intelligence result nlp many subtopics including optical character recognition text speech translator foreign language reading writing aid machine translation speech recognition w,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
70,probabilistic finitestate string transducer fsts extremely popular natural language processing due powerful generic method applying composing learning unfortunately fsts good fit much current work probabilistic modeling machine translati,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
71,abstract special issue tal look fundamental principle underlying evaluation natural language processing adopt global point view go beyond horizon single evaluation campaign particular protocol brief review history terminology,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
72,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,natural language processing system nlp extract clinical information textual report shown effective limited domain particular application nlp system typically requires substantial resource develop beneficial designed easily,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
74,propose bifurcated paradigm construction prolog knowledge base body document first information extraction ie application annotate corpus output annotated document second prolog knowledge base kb application transform th,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
75,describe single convolutional neural network architecture given sentence output host language processing prediction partofspeech tag chunk named entity tag semantic role semantically similar word likelihood sentence make sense grammatically sem,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
76,developed prototype information retrieval system us advanced natural language processing technique enhance effectiveness traditional keyword based document retrieval backbone system statistical retrieval engine performs automated indexing docum,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
77,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,paper discus several issue requirement enabling natural language processing system become contextadaptive given fact emerging system feature speaker independent continuous speech recognition restricted individual domain equipped syntactic,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
79,fall introduced new course called applied natural language processing student acquire understanding text analysis technique currently feasible practical application,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
80,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,abstract natural language processing study mathematical computational modelling various aspect language improvement wide range system natural language language arises innate facility language possessed human intellect may,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
82,natural language processing nlp branch artificial intelligence includes speech synthesis speech recognition machine translation natural language processing wide range application indian context rural indian community unable make use th,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
83,evaluation lolita related natural language processing system paul callaghan submitted university durham degree phd august research address question evaluate system like lolita lolita natural,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
84,previous work demonstrated web count used approximate bigram count suggesting webbased frequency useful wide variety natural language processing nlp task however limited number task far tested using webscale data set pr,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
85,chapter examines application natural language processing computerassisted language learning including history work field last thirtyfive year focus current development opportunity introduction chapter focus application,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
86,paper describes natural language system improves performance learning system process short english narrative able acquire single narrative new schema stereotypical set action understanding process system attempt,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
87,classify review current approach software infrastructure research development delivery nlp system task,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
88,confidence measure practical solution improving usefulness natural language processing application confidence estimation generic machine learning approach deriving confidence measure give overview application confidence estimation various field n,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
89,lexsign senseid senseid dictionary ldoce lexsign senseid senseid ldbentryno lexsign senseid senseid senseno loaded lkb expanded fullyfledged representation transitive use e,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
90,describe design use stanford corenlp toolkit extensible pipeline provides core natural language analysis toolkit quite widely used research nlp community also among commercial government user open source nlp technology suggest,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
91,gaussian process gps powerful modelling framework incorporating kernel bayesian inference recognised stateoftheart many machine learning task,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
92,fundamental issue natural language processing prerequisite enormous quantity preprogrammed knowledge concerning language domain examination manual acquisition knowledge tedious error prone development automated acquisition process,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
93,general reusable computational resource de veloped within penman text generation project organizing domain knowledge appropriately linguistic realization resource called upper model provides domain taskindependent classification system support,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
94,kohonenaposs selforganizing map som one popular artificial neural network algorithm word category map som organized according word similarity measured similarity short context word conceptually interrelated word tend fall,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
95,paper present workbench built priberam informática development company natural language processing technology workbench includes set linguistic resource software tool applied considerable number practical purpose covering proofing,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
96,abstractnatural language processing nlp effective approach bringing improvement educational setting implementing nlp involves initiating process learning natural acquisition educational system based effective approach providing solution f,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
97,abstract twenty year disfavor technology returned imitates process brain natural language experiment sejnowski rosenberg demonstrate neural network computing architecture learn actual spoken language observe rule pronunciation,,,,,,,,,,,,,,,,,,,,,,,,,,Negative
98,text statistic frequently used stylometry cryptography study paper text statistic tool developed iso prolog natural language processing detail given usage usercallable predicate logic limitation program also discussed,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral
99,summarize experience using framenet two rather different project natural language processing nlp conclude nlp benefit framenet different way sketch problem need overcome,,,,,,,,,,,,,,,,,,,,,,,,,,Positive
